model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc,train_time_sec
LogisticRegression,0.9047143095119107,0.595505640897911,0.7177777777777777,0.6011004284736193,0.8808758925098027,17.560606956481934
RandomForest,0.907296351824088,0.5967780301717797,0.7189444444444445,0.6025111197024022,0.8813253149769973,3.0093798637390137
GradientBoosting,0.9731800766283525,0.656268165084286,0.614,0.6327929242560679,0.8823720879323887,19.856878995895386
HistGradientBoosting,0.9731800766283525,0.656268165084286,0.614,0.6327929242560679,0.8823720879323887,4.375427007675171
ExtraTrees,0.907296351824088,0.5967780301717797,0.7189444444444445,0.6025111197024022,0.8801081771108303,2.9547948837280273
MLP,0.947776111944028,0.5944528774720896,0.6239666666666667,0.6078250981087031,0.7431432739781928,54.042906284332275
XGBoost,0.9730967849408629,0.6562368820433336,0.6138333333333333,0.632678513168096,0.8823438781173892,5.506349086761475
LightGBM,0.9731800766283525,0.656268165084286,0.614,0.6327929242560679,0.8823535361802378,4.1396942138671875
